Lucas Group,Fulfillment Supervisor,Youngstown,OH,US,Mid-Senior level,['Food & Beverages'],https://www.linkedin.com/jobs/view/fulfillment-supervisor-at-lucas-group-1705075883?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=17&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
"Crabtree & Eller, LLC",Transportation Sales,Chicago,IL,US,Mid-Senior level,"['Logistics and Supply Chain,Transportation/Trucking/Railroad']",https://www.linkedin.com/jobs/view/transportation-sales-at-crabtree-eller-llc-1705154536?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=18&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
M Moser Associates,Senior Architectural Designer,New York,NY,US,Associate,"['Architecture & Planning,Design']",https://www.linkedin.com/jobs/view/senior-architectural-designer-at-m-moser-associates-1705137896?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=19&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
CBM of America,Telecommunications Site Survey Engineer,Carrollton,TX,US,Mid-Senior level,['Telecommunications'],https://www.linkedin.com/jobs/view/telecommunications-site-survey-engineer-at-cbm-of-america-1705139603?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=20&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
GEODIS,Operations Manager - 2nd Shift,Dallas,TX,US,Associate,['Logistics and Supply Chain'],https://www.linkedin.com/jobs/view/operations-manager-2nd-shift-at-geodis-1705117932?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=21&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
BECCA Cosmetics,Senior Accountant,New York,NY,US,Associate,"['Consumer Goods,Cosmetics']",https://www.linkedin.com/jobs/view/senior-accountant-at-becca-cosmetics-1705120241?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=22&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
"Pioneer Bank, SSB",Commercial Loan Administrator,Houston,TX,US,Associate,['Banking'],https://www.linkedin.com/jobs/view/commercial-loan-administrator-at-pioneer-bank-ssb-1705115020?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=23&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Synechron,Java / UI Developer,Jersey City,NJ,US,Mid-Senior level,['Financial Services'],https://www.linkedin.com/jobs/view/java-ui-developer-at-synechron-1705160157?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=24&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Focus Technology,Microsoft Engineer,Boston,MA,US,Mid-Senior level,['Information Technology and Services'],https://www.linkedin.com/jobs/view/microsoft-engineer-at-focus-technology-1705084077?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=25&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Cigars International,Merchandise Coordinator,Bethlehem,PA,US,Mid-Senior level,['Tobacco'],https://www.linkedin.com/jobs/view/merchandise-coordinator-at-cigars-international-1705157346?refId=a11ace9c-ae9b-45b5-b9bb-7787cb852961&position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
